,file_1,file_2,total_avg,similarity_rating,entity_sim_rating
0,baseball_demofile_3.pdf,baseball_demofile_3.pdf,0.052535512,5,100
1,homeland_sec_assessment.pdf,baseball_demofile_3.pdf,0.008416825,1,1.838041933
2,Tackling_human_trafficking20200407.pdf,baseball_demofile_3.pdf,0.007888004,1,0.136984521
