,file_1,file_2,entity_sim_rating
0,baseball_demofile_3.pdf,baseball_demofile_3.pdf,100
2,baseball_demofile_4.pdf,baseball_demofile_3.pdf,24.91464966
7,homeland_sec_assessment.pdf,Tackling_human_trafficking20200407.pdf,22.79175678
4,baseball_demofile_5.pdf,baseball_demofile_3.pdf,15.54694174
6,homeland_sec_assessment.pdf,baseball_demofile_3.pdf,13.87379868
5,baseball_demofile_5.pdf,Tackling_human_trafficking20200407.pdf,9.229192783
3,baseball_demofile_4.pdf,Tackling_human_trafficking20200407.pdf,8.425061383
1,baseball_demofile_3.pdf,Tackling_human_trafficking20200407.pdf,8.152001316
