,file_1,file_2,entity_sim_rating,bow_comparison_score
1,homeland_sec_assessment.pdf,the evolution of modern medicine book.pdf,15.25,0.7831767068304419
0,homeland_sec_assessment.pdf,Tackling_human_trafficking20200407.pdf,14.27,0.7488860007387593
2,homeland_sec_assessment.pdf,baseball_demofile.txt,13.34,0.43413502383319774
5,the evolution of modern medicine book.pdf,baseball_demofile.txt,11.26,0.8927223991834953
3,Tackling_human_trafficking20200407.pdf,the evolution of modern medicine book.pdf,9.75,0.5372394311511628
4,Tackling_human_trafficking20200407.pdf,baseball_demofile.txt,8.41,0.2610059539798329
