,file_1,file_2,entity_sim_rating
1,homeland_sec_assessment.pdf,the evolution of modern medicine book.pdf,15.25
0,homeland_sec_assessment.pdf,Tackling_human_trafficking20200407.pdf,14.27
2,homeland_sec_assessment.pdf,baseball_demofile.txt,13.34
5,the evolution of modern medicine book.pdf,baseball_demofile.txt,11.26
3,Tackling_human_trafficking20200407.pdf,the evolution of modern medicine book.pdf,9.75
4,Tackling_human_trafficking20200407.pdf,baseball_demofile.txt,8.41
