,file_1,file_2,entity_sim_rating,bow_comparison_score
0,homeland_sec_assessment.pdf,Tackling_human_trafficking20200407.pdf,19.79,0.7682560713538452
1,homeland_sec_assessment.pdf,baseball_demofile.txt,12.68,0.4514458374335216
2,Tackling_human_trafficking20200407.pdf,baseball_demofile.txt,8.86,0.5372394311511628
